gbest pbestAvg pbestSim popSim numsOfHui
685719.0 502860.6 288.00378 266.27753 0
685719.0 502860.6 288.00378 256.44577 0
685719.0 502860.6 288.00378 266.2509 0
685719.0 502860.6 288.00378 266.6299 0
685719.0 502860.6 288.00378 265.2142 0
685719.0 502860.6 288.00378 267.90436 0
685719.0 502860.6 288.00378 250.08545 0
685719.0 502860.6 288.00378 262.20584 0
685719.0 502860.6 288.00378 251.77127 0
685719.0 502860.6 288.00378 264.01395 0
685719.0 502860.6 288.00378 262.84418 0
685719.0 502860.6 288.00378 256.1871 0
685719.0 502860.6 288.00378 243.87567 0
685719.0 502860.6 288.00378 267.65088 0
685719.0 503390.97 292.97858 270.4361 0
685719.0 504434.9 294.98737 263.5442 0
685719.0 504434.9 294.98737 257.20306 0
685719.0 507055.56 296.8249 271.31223 0
685719.0 507055.56 296.8249 263.56592 0
685719.0 507055.56 296.8249 274.45352 0
685719.0 507055.56 296.8249 266.62973 0
685719.0 507055.56 296.8249 267.19897 0
685719.0 508418.28 295.83145 256.4663 0
685719.0 508418.28 295.83145 267.3924 0
685719.0 508418.28 295.83145 262.42715 0
685719.0 508418.28 295.83145 269.59198 0
685719.0 508418.28 295.83145 257.9223 0
685719.0 508418.28 295.83145 272.05078 0
685719.0 508418.28 295.83145 267.15863 0
685719.0 508418.28 295.83145 262.32468 0
685719.0 518278.22 299.33823 274.1092 0
685719.0 518278.22 299.33823 250.11046 0
685719.0 525717.9 300.9236 257.43655 0
685719.0 525717.9 300.9236 263.60223 0
685719.0 525717.9 300.9236 269.0344 0
685719.0 525717.9 300.9236 267.97192 0
685719.0 525717.9 300.9236 265.95148 0
685719.0 525717.9 300.9236 270.1555 0
685719.0 525717.9 300.9236 265.7629 0
685719.0 525717.9 300.9236 263.063 0
685719.0 525717.9 300.9236 269.6312 0
685719.0 525717.9 300.9236 273.56866 0
685719.0 525717.9 300.9236 266.98276 0
685719.0 525717.9 300.9236 260.07672 0
685719.0 525717.9 300.9236 271.62573 0
685719.0 525717.9 300.9236 266.85666 0
685719.0 525717.9 300.9236 274.63565 0
685719.0 525717.9 300.9236 272.00854 0
685719.0 525717.9 300.9236 274.2552 0
685719.0 525717.9 300.9236 277.06918 0
685719.0 525717.9 300.9236 266.44794 0
685719.0 525717.9 300.9236 283.87076 0
685719.0 525717.9 300.9236 278.49124 0
685719.0 525717.9 300.9236 269.59125 0
685719.0 525717.9 300.9236 266.8585 0
685719.0 525717.9 300.9236 268.473 0
685719.0 525717.9 300.9236 278.172 0
685719.0 525717.9 300.9236 277.5368 0
685719.0 525717.9 300.9236 278.8118 0
685719.0 525717.9 300.9236 276.73492 0
685719.0 525717.9 300.9236 262.25952 0
685719.0 525717.9 300.9236 268.56033 0
685719.0 525717.9 300.9236 264.1391 0
685719.0 525717.9 300.9236 267.7203 0
685719.0 525717.9 300.9236 274.8353 0
685719.0 525717.9 300.9236 280.05 0
685719.0 525717.9 300.9236 267.03726 0
685719.0 525717.9 300.9236 254.99954 0
685719.0 525717.9 300.9236 262.48416 0
685719.0 525717.9 300.9236 278.51364 0
685719.0 525717.9 300.9236 255.89392 0
685719.0 525717.9 300.9236 261.67267 0
685719.0 525717.9 300.9236 266.1808 0
685719.0 525717.9 300.9236 264.10916 0
685719.0 525717.9 300.9236 262.20755 0
685719.0 525717.9 300.9236 266.45602 0
685719.0 525717.9 300.9236 265.21558 0
685719.0 525717.9 300.9236 252.9925 0
685719.0 525717.9 300.9236 261.6159 0
685719.0 525717.9 300.9236 259.5909 0
685719.0 525717.9 300.9236 271.11002 0
685719.0 525717.9 300.9236 268.44498 0
685719.0 525717.9 300.9236 267.79947 0
685719.0 525717.9 300.9236 266.453 0
685719.0 525717.9 300.9236 274.0412 0
685719.0 525717.9 300.9236 262.61823 0
685719.0 525717.9 300.9236 262.98438 0
685719.0 525717.9 300.9236 258.03082 0
685719.0 525717.9 300.9236 260.60455 0
685719.0 525717.9 300.9236 258.46866 0
685719.0 525717.9 300.9236 260.0016 0
